year,state,candidatevotes_DEMOCRAT,candidatevotes_REPUBLICAN,percentage_DEMOCRAT,percentage_REPUBLICAN,totalvotes,winner
2000,ALABAMA,695602,944409,41.59,56.47,1672551,REPUBLICAN
2000,ALASKA,79004,167398,27.67,58.63,285530,REPUBLICAN
2000,ARIZONA,685341,781652,44.67,50.95,1534113,REPUBLICAN
2000,ARKANSAS,422768,472940,45.86,51.31,921781,REPUBLICAN
2000,CALIFORNIA,5861203,4567429,53.45,41.65,10965856,DEMOCRAT
2000,COLORADO,738227,883745,42.39,50.75,1741365,REPUBLICAN
2000,CONNECTICUT,816015,561094,55.91,38.44,1459525,DEMOCRAT
2000,DELAWARE,180068,137288,54.98,41.92,327529,DEMOCRAT
2000,DISTRICT OF COLUMBIA,171923,18073,85.16,8.95,201894,DEMOCRAT
2000,FLORIDA,2911417,2911215,48.84,48.84,5960660,DEMOCRAT
2000,GEORGIA,1116230,1419720,42.98,54.67,2596804,REPUBLICAN
2000,HAWAII,205242,137819,55.79,37.46,367871,DEMOCRAT
2000,IDAHO,138637,336937,27.64,67.17,501621,REPUBLICAN
2000,ILLINOIS,2589026,2019421,54.6,42.58,4742123,DEMOCRAT
2000,INDIANA,901980,1245836,41.01,56.65,2199305,REPUBLICAN
2000,IOWA,638517,634373,48.54,48.22,1315563,DEMOCRAT
2000,KANSAS,399276,622332,37.24,58.04,1072216,REPUBLICAN
2000,KENTUCKY,638898,872492,41.37,56.5,1544187,REPUBLICAN
2000,LOUISIANA,792344,927871,44.88,52.55,1765656,REPUBLICAN
2000,MAINE,319951,286616,49.09,43.97,651817,DEMOCRAT
2000,MARYLAND,1145782,813797,56.57,40.18,2025480,DEMOCRAT
2000,MASSACHUSETTS,1616487,878502,59.8,32.5,2702984,DEMOCRAT
2000,MICHIGAN,2170418,1953139,51.28,46.14,4232711,DEMOCRAT
2000,MINNESOTA,1168266,1109659,47.91,45.5,2438685,DEMOCRAT
2000,MISSISSIPPI,404964,573230,40.7,57.62,994926,REPUBLICAN
2000,MISSOURI,1111138,1189924,47.08,50.42,2359892,REPUBLICAN
2000,MONTANA,137126,240178,33.37,58.44,410986,REPUBLICAN
2000,NEBRASKA,231780,433862,33.25,62.25,697019,REPUBLICAN
2000,NEVADA,279978,301575,45.98,49.52,608970,REPUBLICAN
2000,NEW HAMPSHIRE,266348,273559,46.8,48.07,569081,REPUBLICAN
2000,NEW JERSEY,1788850,1284173,56.13,40.29,3187226,DEMOCRAT
2000,NEW MEXICO,286783,286417,47.91,47.85,598605,DEMOCRAT
2000,NEW YORK,4107697,2403374,60.21,35.23,6821999,DEMOCRAT
2000,NORTH CAROLINA,1257692,1631163,43.2,56.03,2911262,REPUBLICAN
2000,NORTH DAKOTA,95284,174852,33.05,60.66,288267,REPUBLICAN
2000,OHIO,2186190,2351209,46.46,49.97,4705457,REPUBLICAN
2000,OKLAHOMA,474276,744337,38.43,60.31,1234229,REPUBLICAN
2000,OREGON,720342,713577,46.96,46.52,1533968,DEMOCRAT
2000,PENNSYLVANIA,2485967,2281127,50.61,46.44,4912185,DEMOCRAT
2000,RHODE ISLAND,249508,130555,60.99,31.91,409112,DEMOCRAT
2000,SOUTH CAROLINA,566039,786426,40.91,56.83,1383777,REPUBLICAN
2000,SOUTH DAKOTA,118804,190700,37.56,60.3,316269,REPUBLICAN
2000,TENNESSEE,981720,1061949,47.28,51.15,2076181,REPUBLICAN
2000,TEXAS,2433746,3799639,37.98,59.3,6407637,REPUBLICAN
2000,UTAH,203053,515096,26.34,66.83,770754,REPUBLICAN
2000,VERMONT,149022,119775,50.63,40.7,294308,DEMOCRAT
2000,VIRGINIA,1216422,1436877,44.43,52.48,2737915,REPUBLICAN
2000,WASHINGTON,1247652,1108864,50.14,44.56,2488441,DEMOCRAT
2000,WEST VIRGINIA,295497,336475,45.59,51.92,648124,REPUBLICAN
2000,WISCONSIN,1242987,1237279,47.83,47.61,2598607,DEMOCRAT
2000,WYOMING,60481,147947,27.7,67.76,218351,REPUBLICAN
2004,ALABAMA,693933,1176394,36.84,62.46,1883415,REPUBLICAN
2004,ALASKA,180365,292267,36.91,59.81,488693,REPUBLICAN
2004,ARIZONA,893524,1104294,44.4,54.87,2012585,REPUBLICAN
2004,ARKANSAS,468631,572770,44.48,54.36,1053694,REPUBLICAN
2004,CALIFORNIA,6737355,5501496,54.41,44.43,12383678,DEMOCRAT
2004,COLORADO,1001732,1101255,47.04,51.71,2129630,REPUBLICAN
2004,CONNECTICUT,857488,693826,54.31,43.95,1578769,DEMOCRAT
2004,DELAWARE,200141,171651,53.35,45.75,375170,DEMOCRAT
2004,DISTRICT OF COLUMBIA,202970,21256,89.18,9.34,227586,DEMOCRAT
2004,FLORIDA,3583544,3964522,47.09,52.1,7609810,REPUBLICAN
2004,GEORGIA,1366149,1914254,41.41,58.03,3298790,REPUBLICAN
2004,HAWAII,231335,194116,53.98,45.3,428555,DEMOCRAT
2004,IDAHO,181098,409235,30.26,68.39,598376,REPUBLICAN
2004,ILLINOIS,2891989,2346608,54.82,44.48,5275415,DEMOCRAT
2004,INDIANA,969011,1479438,39.26,59.94,2468002,REPUBLICAN
2004,IOWA,741898,751957,49.23,49.9,1506908,REPUBLICAN
2004,KANSAS,434993,736456,36.62,62.0,1187756,REPUBLICAN
2004,KENTUCKY,712733,1069439,39.69,59.55,1795860,REPUBLICAN
2004,LOUISIANA,820299,1102169,42.22,56.72,1943106,REPUBLICAN
2004,MAINE,364153,308997,53.04,45.01,686510,DEMOCRAT
2004,MARYLAND,1334493,1024703,55.91,42.93,2386678,DEMOCRAT
2004,MASSACHUSETTS,1803800,1071109,61.94,36.78,2912388,DEMOCRAT
2004,MICHIGAN,2479183,2313746,51.23,47.81,4839252,DEMOCRAT
2004,MINNESOTA,1444751,1346451,51.09,47.61,2827850,DEMOCRAT
2004,MISSISSIPPI,440034,666295,39.47,59.76,1114859,REPUBLICAN
2004,MISSOURI,1259171,1455713,46.1,53.3,2731364,REPUBLICAN
2004,MONTANA,173710,266063,38.57,59.07,450434,REPUBLICAN
2004,NEBRASKA,254328,512814,32.68,65.9,778186,REPUBLICAN
2004,NEVADA,397190,418690,47.88,50.47,829587,REPUBLICAN
2004,NEW HAMPSHIRE,340511,331237,50.25,48.88,677662,DEMOCRAT
2004,NEW JERSEY,1911430,1668003,52.95,46.21,3609691,DEMOCRAT
2004,NEW MEXICO,370942,376930,49.05,49.84,756304,REPUBLICAN
2004,NEW YORK,4180755,2806993,56.57,37.98,7391036,DEMOCRAT
2004,NORTH CAROLINA,1525849,1961166,43.58,56.02,3501007,REPUBLICAN
2004,NORTH DAKOTA,111052,196651,35.5,62.86,312833,REPUBLICAN
2004,OHIO,2739952,2858727,48.7,50.82,5625631,REPUBLICAN
2004,OKLAHOMA,503966,959792,34.43,65.57,1463758,REPUBLICAN
2004,OREGON,943163,866831,51.35,47.19,1836782,DEMOCRAT
2004,PENNSYLVANIA,2938095,2793847,50.96,48.46,5765764,DEMOCRAT
2004,RHODE ISLAND,259760,169046,59.54,38.75,436289,DEMOCRAT
2004,SOUTH CAROLINA,661699,937974,40.9,57.98,1617730,REPUBLICAN
2004,SOUTH DAKOTA,149244,232584,38.44,59.91,388215,REPUBLICAN
2004,TENNESSEE,1032910,1381225,42.5,56.83,2430494,REPUBLICAN
2004,TEXAS,2832704,4526917,38.22,61.09,7410749,REPUBLICAN
2004,UTAH,241199,663742,26.0,71.54,927844,REPUBLICAN
2004,VERMONT,184067,121180,58.94,38.8,312309,DEMOCRAT
2004,VIRGINIA,1454742,1716959,45.48,53.68,3198367,REPUBLICAN
2004,WASHINGTON,1510201,1304894,52.82,45.64,2859084,DEMOCRAT
2004,WEST VIRGINIA,326541,423550,43.21,56.05,755659,REPUBLICAN
2004,WISCONSIN,1489504,1478120,49.7,49.32,2997007,DEMOCRAT
2004,WYOMING,70776,167629,29.07,68.86,243428,REPUBLICAN
2008,ALABAMA,813479,1266546,38.74,60.32,2099819,REPUBLICAN
2008,ALASKA,123594,193841,37.89,59.42,326197,REPUBLICAN
2008,ARIZONA,1034707,1230111,45.12,53.64,2293475,REPUBLICAN
2008,ARKANSAS,422310,638017,38.86,58.72,1086617,REPUBLICAN
2008,CALIFORNIA,8274473,5011781,61.01,36.95,13561900,DEMOCRAT
2008,COLORADO,1288576,1073589,53.66,44.71,2401361,DEMOCRAT
2008,CONNECTICUT,1000291,628041,60.73,38.13,1647085,DEMOCRAT
2008,DELAWARE,255459,152374,61.94,36.95,412412,DEMOCRAT
2008,DISTRICT OF COLUMBIA,245800,17367,92.46,6.53,265853,DEMOCRAT
2008,FLORIDA,4282366,4046212,51.03,48.22,8391639,DEMOCRAT
2008,GEORGIA,1844137,2048744,46.98,52.19,3925278,REPUBLICAN
2008,HAWAII,325201,120429,71.83,26.6,452742,DEMOCRAT
2008,IDAHO,236440,403012,36.1,61.53,655032,REPUBLICAN
2008,ILLINOIS,3419673,2031527,61.92,36.78,5523051,DEMOCRAT
2008,INDIANA,1374039,1345648,49.95,48.91,2751054,DEMOCRAT
2008,IOWA,828940,682379,53.94,44.4,1536820,DEMOCRAT
2008,KANSAS,514765,699655,41.65,56.61,1235872,REPUBLICAN
2008,KENTUCKY,751985,1048462,41.17,57.4,1826508,REPUBLICAN
2008,LOUISIANA,781574,1148015,39.89,58.6,1959085,REPUBLICAN
2008,MAINE,421923,295273,57.71,40.38,731163,DEMOCRAT
2008,MARYLAND,1629467,959862,61.92,36.47,2631596,DEMOCRAT
2008,MASSACHUSETTS,1904103,1108885,61.79,35.99,3081336,DEMOCRAT
2008,MICHIGAN,2872579,2048639,57.43,40.96,5001766,DEMOCRAT
2008,MINNESOTA,1573354,1275409,54.06,43.82,2910369,DEMOCRAT
2008,MISSISSIPPI,554662,724497,43.16,56.37,1285259,REPUBLICAN
2008,MISSOURI,1441911,1445814,49.29,49.43,2925205,REPUBLICAN
2008,MONTANA,232156,243860,46.8,49.16,496072,REPUBLICAN
2008,NEBRASKA,333319,452979,41.6,56.53,801281,REPUBLICAN
2008,NEVADA,533736,412827,55.15,42.65,967848,DEMOCRAT
2008,NEW HAMPSHIRE,384826,316534,54.13,44.52,710970,DEMOCRAT
2008,NEW JERSEY,2215422,1613207,57.72,42.03,3838498,DEMOCRAT
2008,NEW MEXICO,472422,346832,56.91,41.78,830158,DEMOCRAT
2008,NEW YORK,4769700,2742298,62.83,36.12,7591233,DEMOCRAT
2008,NORTH CAROLINA,2142651,2128474,49.7,49.38,4310789,DEMOCRAT
2008,NORTH DAKOTA,141278,168601,44.62,53.25,316621,REPUBLICAN
2008,OHIO,2933388,2674491,51.48,46.94,5698048,DEMOCRAT
2008,OKLAHOMA,502496,960165,34.35,65.65,1462661,REPUBLICAN
2008,OREGON,1037291,738475,56.75,40.4,1827864,DEMOCRAT
2008,PENNSYLVANIA,3266523,2649934,54.64,44.33,5977981,DEMOCRAT
2008,RHODE ISLAND,296571,165391,62.86,35.06,471766,DEMOCRAT
2008,SOUTH CAROLINA,862449,1034896,44.9,53.87,1920969,REPUBLICAN
2008,SOUTH DAKOTA,170924,203054,45.25,53.76,377708,REPUBLICAN
2008,TENNESSEE,1087437,1479178,41.82,56.89,2600124,REPUBLICAN
2008,TEXAS,3528633,4479328,43.68,55.45,8077795,REPUBLICAN
2008,UTAH,327670,596030,34.41,62.58,952370,REPUBLICAN
2008,VERMONT,219262,98974,67.46,30.45,325046,DEMOCRAT
2008,VIRGINIA,1959532,1725005,52.63,46.33,3723260,DEMOCRAT
2008,WASHINGTON,1750848,1229216,57.65,40.48,3036878,DEMOCRAT
2008,WEST VIRGINIA,303857,397466,42.59,55.71,713451,REPUBLICAN
2008,WISCONSIN,1677211,1262393,56.22,42.31,2983417,DEMOCRAT
2008,WYOMING,82868,164958,32.37,64.43,256035,REPUBLICAN
2012,ALABAMA,795696,1255925,38.43,60.66,2070353,REPUBLICAN
2012,ALASKA,122640,164676,40.81,54.8,300495,REPUBLICAN
2012,ARIZONA,1025232,1233654,44.59,53.65,2299254,REPUBLICAN
2012,ARKANSAS,394409,647744,36.88,60.57,1069468,REPUBLICAN
2012,CALIFORNIA,7854285,4839958,60.24,37.12,13038547,DEMOCRAT
2012,COLORADO,1322998,1185050,51.49,46.12,2569217,DEMOCRAT
2012,CONNECTICUT,905083,634892,58.06,40.73,1558803,DEMOCRAT
2012,DELAWARE,242584,165484,58.6,39.98,413937,DEMOCRAT
2012,DISTRICT OF COLUMBIA,267070,21381,90.91,7.28,293764,DEMOCRAT
2012,FLORIDA,4237756,4163447,50.01,49.13,8474179,DEMOCRAT
2012,GEORGIA,1773827,2078688,45.48,53.3,3900050,REPUBLICAN
2012,HAWAII,306266,120937,70.53,27.85,434221,DEMOCRAT
2012,IDAHO,212787,420911,32.62,64.53,652274,REPUBLICAN
2012,ILLINOIS,3019512,2135102,57.6,40.73,5241891,DEMOCRAT
2012,INDIANA,1152887,1420543,43.93,54.13,2624534,REPUBLICAN
2012,IOWA,822544,730617,51.99,46.18,1582180,DEMOCRAT
2012,KANSAS,439908,689809,38.05,59.66,1156254,REPUBLICAN
2012,KENTUCKY,679370,1087190,37.8,60.49,1797212,REPUBLICAN
2012,LOUISIANA,809141,1152262,40.58,57.78,1994065,REPUBLICAN
2012,MAINE,401306,292276,56.27,40.98,713180,DEMOCRAT
2012,MARYLAND,1677844,971869,61.97,35.9,2707327,DEMOCRAT
2012,MASSACHUSETTS,1921290,1188314,60.65,37.51,3167767,DEMOCRAT
2012,MICHIGAN,2564569,2115256,54.21,44.71,4730961,DEMOCRAT
2012,MINNESOTA,1546167,1320225,52.65,44.96,2936561,DEMOCRAT
2012,MISSISSIPPI,562949,710746,43.79,55.29,1285584,REPUBLICAN
2012,MISSOURI,1223796,1482440,44.38,53.76,2757312,REPUBLICAN
2012,MONTANA,201839,267928,41.71,55.36,483932,REPUBLICAN
2012,NEBRASKA,302081,475064,38.03,59.8,794379,REPUBLICAN
2012,NEVADA,531373,463567,52.36,45.68,1014918,DEMOCRAT
2012,NEW HAMPSHIRE,369561,329918,51.98,46.41,710931,DEMOCRAT
2012,NEW JERSEY,2125101,1477568,58.38,40.59,3640292,DEMOCRAT
2012,NEW MEXICO,415335,335788,52.99,42.84,783758,DEMOCRAT
2012,NEW YORK,4324228,2223397,61.23,31.48,7061925,DEMOCRAT
2012,NORTH CAROLINA,2178391,2270395,48.35,50.39,4505372,REPUBLICAN
2012,NORTH DAKOTA,124966,188320,38.7,58.32,322932,REPUBLICAN
2012,OHIO,2827621,2661407,50.67,47.69,5580822,DEMOCRAT
2012,OKLAHOMA,443547,891325,33.23,66.77,1334872,REPUBLICAN
2012,OREGON,970488,754175,54.24,42.15,1789270,DEMOCRAT
2012,PENNSYLVANIA,2990274,2680434,52.08,46.68,5742040,DEMOCRAT
2012,RHODE ISLAND,279677,157204,62.7,35.24,446052,DEMOCRAT
2012,SOUTH CAROLINA,865941,1071645,44.09,54.56,1964118,REPUBLICAN
2012,SOUTH DAKOTA,145039,210610,39.87,57.89,363815,REPUBLICAN
2012,TENNESSEE,960709,1462330,39.08,59.48,2458577,REPUBLICAN
2012,TEXAS,3308124,4569843,41.38,57.17,7993851,REPUBLICAN
2012,UTAH,251813,740600,24.75,72.79,1017440,REPUBLICAN
2012,VERMONT,199239,92698,66.57,30.97,299290,DEMOCRAT
2012,VIRGINIA,1971820,1822522,51.16,47.28,3854489,DEMOCRAT
2012,WASHINGTON,1755396,1290670,56.16,41.29,3125516,DEMOCRAT
2012,WEST VIRGINIA,238269,417655,35.54,62.3,670440,REPUBLICAN
2012,WISCONSIN,1620985,1410966,52.78,45.94,3071434,DEMOCRAT
2012,WYOMING,69286,170962,27.82,68.64,249061,REPUBLICAN
2016,ALABAMA,729547,1318250,34.36,62.08,2123367,REPUBLICAN
2016,ALASKA,116454,163387,36.57,51.32,318398,REPUBLICAN
2016,ARIZONA,1161167,1252401,44.59,48.09,2604277,REPUBLICAN
2016,ARKANSAS,380494,684872,33.68,60.61,1129896,REPUBLICAN
2016,CALIFORNIA,8753788,4483810,61.73,31.62,14181595,DEMOCRAT
2016,COLORADO,1338870,1202484,48.16,43.25,2780220,DEMOCRAT
2016,CONNECTICUT,897572,673215,54.48,40.86,1647536,DEMOCRAT
2016,DELAWARE,235603,185127,53.18,41.79,442997,DEMOCRAT
2016,DISTRICT OF COLUMBIA,282830,12723,90.86,4.09,311268,DEMOCRAT
2016,FLORIDA,4504975,4617886,47.82,49.02,9420039,REPUBLICAN
2016,GEORGIA,1877963,2089104,45.64,50.77,4114711,REPUBLICAN
2016,HAWAII,266891,128847,62.22,30.04,428937,DEMOCRAT
2016,IDAHO,189765,409055,27.48,59.25,690433,REPUBLICAN
2016,ILLINOIS,3090729,2146015,55.6,38.61,5558707,DEMOCRAT
2016,INDIANA,1033126,1557286,37.77,56.94,2734958,REPUBLICAN
2016,IOWA,653669,800983,41.74,51.15,1566031,REPUBLICAN
2016,KANSAS,427005,671018,36.05,56.65,1184403,REPUBLICAN
2016,KENTUCKY,628854,1202971,32.68,62.52,1924149,REPUBLICAN
2016,LOUISIANA,780154,1178638,38.45,58.09,2029032,REPUBLICAN
2016,MAINE,357735,335593,47.83,44.87,747927,DEMOCRAT
2016,MARYLAND,1677928,943169,60.33,33.91,2781446,DEMOCRAT
2016,MASSACHUSETTS,1995196,1090893,60.93,33.31,3274555,DEMOCRAT
2016,MICHIGAN,2268839,2279543,47.27,47.5,4799284,REPUBLICAN
2016,MINNESOTA,1367716,1322951,46.44,44.92,2944813,DEMOCRAT
2016,MISSISSIPPI,485131,700714,40.11,57.94,1209357,REPUBLICAN
2016,MISSOURI,1071068,1594511,38.15,56.8,2807381,REPUBLICAN
2016,MONTANA,177709,279240,35.75,56.17,497147,REPUBLICAN
2016,NEBRASKA,284494,495961,33.7,58.75,844227,REPUBLICAN
2016,NEVADA,539260,512058,47.92,45.5,1125385,DEMOCRAT
2016,NEW HAMPSHIRE,348526,345790,46.83,46.46,744296,DEMOCRAT
2016,NEW JERSEY,2148278,1601933,55.45,41.35,3874046,DEMOCRAT
2016,NEW MEXICO,385234,319667,48.26,40.04,798319,DEMOCRAT
2016,NEW YORK,4547562,2814589,59.0,36.52,7707363,DEMOCRAT
2016,NORTH CAROLINA,2189316,2362631,46.17,49.83,4741564,REPUBLICAN
2016,NORTH DAKOTA,93758,216794,27.23,62.96,344360,REPUBLICAN
2016,OHIO,2394164,2841005,43.56,51.69,5496487,REPUBLICAN
2016,OKLAHOMA,420375,949136,28.93,65.32,1452992,REPUBLICAN
2016,OREGON,1002106,782403,50.07,39.09,2001336,DEMOCRAT
2016,PENNSYLVANIA,2926441,2970733,47.85,48.58,6115402,REPUBLICAN
2016,RHODE ISLAND,252525,180543,54.41,38.9,464144,DEMOCRAT
2016,SOUTH CAROLINA,855373,1155389,40.67,54.94,2103027,REPUBLICAN
2016,SOUTH DAKOTA,117458,227721,31.74,61.53,370093,REPUBLICAN
2016,TENNESSEE,870695,1522925,34.72,60.72,2508027,REPUBLICAN
2016,TEXAS,3877868,4685047,43.24,52.23,8969226,REPUBLICAN
2016,UTAH,310676,515231,27.46,45.54,1131430,REPUBLICAN
2016,VERMONT,178573,95369,56.68,30.27,315077,DEMOCRAT
2016,VIRGINIA,1981473,1769443,49.73,44.41,3984631,DEMOCRAT
2016,WASHINGTON,1742718,1221747,54.3,38.07,3209214,DEMOCRAT
2016,WEST VIRGINIA,188794,489371,26.48,68.63,713051,REPUBLICAN
2016,WISCONSIN,1381823,1404440,46.44,47.2,2975753,REPUBLICAN
2016,WYOMING,55973,174419,21.88,68.17,255849,REPUBLICAN
2020,ALABAMA,849624,1441170,36.57,62.03,2323282,REPUBLICAN
2020,ALASKA,153778,189951,43.01,53.12,357569,REPUBLICAN
2020,ARIZONA,1672143,1661686,16.46,16.36,10155882,DEMOCRAT
2020,ARKANSAS,423932,760647,8.69,15.6,4876276,REPUBLICAN
2020,CALIFORNIA,11110250,6006429,63.48,34.32,17500881,DEMOCRAT
2020,COLORADO,1804352,1364607,55.4,41.9,3256980,DEMOCRAT
2020,CONNECTICUT,1080831,714717,59.26,39.19,1823857,DEMOCRAT
2020,DELAWARE,296268,200603,58.78,39.8,504010,DEMOCRAT
2020,DISTRICT OF COLUMBIA,317323,18586,92.15,5.4,344356,DEMOCRAT
2020,FLORIDA,5297045,5668731,47.86,51.22,11067456,REPUBLICAN
2020,GEORGIA,2474507,2461837,12.38,12.31,19993928,DEMOCRAT
2020,HAWAII,366127,196855,63.73,34.27,574457,DEMOCRAT
2020,IDAHO,287021,554119,33.09,63.89,867361,REPUBLICAN
2020,ILLINOIS,3471915,2446891,57.54,40.55,6033744,DEMOCRAT
2020,INDIANA,1242416,1729519,40.96,57.02,3033121,REPUBLICAN
2020,IOWA,759061,902009,22.45,26.67,3381742,REPUBLICAN
2020,KANSAS,570323,771406,41.56,56.21,1372303,REPUBLICAN
2020,KENTUCKY,772285,1326418,36.17,62.13,2134996,REPUBLICAN
2020,LOUISIANA,856034,1255776,39.85,58.46,2148062,REPUBLICAN
2020,MAINE,430473,359899,52.33,43.75,822534,DEMOCRAT
2020,MARYLAND,1985023,976414,13.07,6.43,15185155,DEMOCRAT
2020,MASSACHUSETTS,2382202,1167202,65.12,31.91,3658005,DEMOCRAT
2020,MICHIGAN,2804040,2649852,50.62,47.84,5539302,DEMOCRAT
2020,MINNESOTA,1717077,1484065,52.4,45.28,3277171,DEMOCRAT
2020,MISSISSIPPI,539398,756764,41.06,57.6,1313759,REPUBLICAN
2020,MISSOURI,1253014,1718736,41.41,56.8,3025962,REPUBLICAN
2020,MONTANA,244786,343602,40.55,56.92,603640,REPUBLICAN
2020,NEBRASKA,374583,556846,39.36,58.51,951712,REPUBLICAN
2020,NEVADA,703314,669608,50.06,47.66,1404911,DEMOCRAT
2020,NEW HAMPSHIRE,424937,365660,52.86,45.49,803833,DEMOCRAT
2020,NEW JERSEY,2608335,1883274,57.33,41.4,4549353,DEMOCRAT
2020,NEW MEXICO,501614,401894,54.29,43.5,923965,DEMOCRAT
2020,NEW YORK,5230985,3244798,60.39,37.46,8661735,DEMOCRAT
2020,NORTH CAROLINA,2684292,2758773,12.15,12.48,22099208,REPUBLICAN
2020,NORTH DAKOTA,114902,235595,31.76,65.11,361819,REPUBLICAN
2020,OHIO,2679165,3154834,45.24,53.27,5922202,REPUBLICAN
2020,OKLAHOMA,503890,1020280,10.76,21.79,4682097,REPUBLICAN
2020,OREGON,1340383,958448,56.45,40.37,2374321,DEMOCRAT
2020,PENNSYLVANIA,3458229,3377674,50.01,48.84,6915283,DEMOCRAT
2020,RHODE ISLAND,307486,199922,59.39,38.61,517757,DEMOCRAT
2020,SOUTH CAROLINA,1091541,1385103,7.24,9.19,15079974,REPUBLICAN
2020,SOUTH DAKOTA,150471,261043,35.61,61.77,422609,REPUBLICAN
2020,TENNESSEE,1143711,1852475,37.45,60.66,3053851,REPUBLICAN
2020,TEXAS,5259126,5890347,46.48,52.06,11315056,REPUBLICAN
2020,UTAH,560282,865139,10.31,15.92,5434835,REPUBLICAN
2020,VERMONT,242826,112708,65.48,30.39,370826,DEMOCRAT
2020,VIRGINIA,2413568,1962430,18.03,14.66,13386199,DEMOCRAT
2020,WASHINGTON,2369612,1584651,57.97,38.77,4087631,DEMOCRAT
2020,WEST VIRGINIA,235984,545382,29.7,68.63,794652,REPUBLICAN
2020,WISCONSIN,1630673,1610065,49.45,48.83,3297352,DEMOCRAT
2020,WYOMING,73491,193559,26.39,69.5,278503,REPUBLICAN
